iter	Passed	Remaining
257	2412	6937
258	2422	6929
259	2430	6916
260	2439	6907
261	2447	6893
262	2458	6888
263	2467	6878
264	2476	6868
265	2487	6862
266	2498	6858
267	2506	6847
268	2516	6837
269	2526	6831
270	2537	6824
271	2545	6811
272	2554	6802
273	2563	6791
274	2572	6782
275	2583	6775
276	2592	6765
277	2602	6759
278	2610	6747
279	2619	6736
280	2628	6726
281	2639	6719
282	2649	6712
283	2657	6700
284	2666	6690
285	2674	6677
286	2684	6669
287	2693	6657
288	2701	6646
289	2710	6637
290	2719	6625
291	2730	6619
292	2740	6613
293	2750	6605
294	2759	6594
295	2767	6582
296	2776	6572
297	2784	6560
298	2794	6552
299	2804	6542
300	2814	6535
301	2822	6523
302	2833	6517
303	2843	6510
304	2851	6498
305	2862	6491
306	2870	6479
307	2880	6472
308	2890	6464
309	2901	6458
310	2911	6451
311	2920	6439
312	2929	6429
313	2937	6417
314	2947	6410
315	2956	6399
316	2964	6388
317	2974	6378
318	2982	6366
319	2992	6359
320	3002	6351
321	3013	6345
322	3023	6337
323	3033	6329
324	3045	6325
325	3055	6317
326	3063	6305
327	3074	6297
328	3082	6287
329	3092	6279
330	3101	6267
331	3111	6260
332	3122	6253
333	3130	6241
334	3140	6234
335	3149	6224
336	3159	6215
337	3168	6204
338	3179	6199
339	3191	6195
340	3201	6187
341	3211	6178
342	3223	6173
343	3233	6165
344	3248	6167
345	3260	6162
346	3273	6159
347	3283	6152
348	3294	6144
349	3304	6137
350	3314	6127
351	3324	6119
352	3333	6109
353	3344	6103
354	3354	6094
355	3362	6083
356	3372	6073
357	3380	6061
358	3389	6052
359	3399	6042
360	3407	6031
361	3417	6023
362	3426	6013
363	3436	6005
364	3445	5994
365	3455	5985
366	3464	5976
367	3473	5964
368	3483	5956
369	3491	5945
370	3501	5936
371	3509	5924
372	3520	5918
373	3534	5915
374	3543	5906
375	3554	5898
376	3564	5891
377	3572	5879
378	3583	5871
379	3594	5863
380	3605	5857
381	3618	5853
382	3631	5850
383	3640	5840
384	3654	5837
385	3666	5831
386	3676	5823
387	3687	5816
388	3700	5812
389	3714	5809
390	3728	5806
391	3743	5806
392	3755	5800
393	3769	5797
394	3785	5798
395	3798	5794
396	3813	5792
397	3829	5792
398	3841	5786
399	3853	5780
400	3865	5773
401	3874	5763
402	3883	5752
403	3893	5743
404	3904	5735
405	3913	5725
406	3923	5716
407	3932	5706
408	3942	5696
409	3951	5685
410	3963	5679
